Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
14073,Nyamulagira,Confirmed,Observations,Reported,2.0,1986,7.0,16.0,1986.0,8.0,20.0
22468,"Fournaise, Piton de la",Confirmed,Observations,Reported,0.0,1986,7.0,13.0,1986.0,7.0,14.0
15414,Sorikmarapi,Confirmed,Observations,Reported,1.0,1986,7.0,5.0,1986.0,7.0,14.0
15172,Kavachi,Confirmed,Observations,Reported,1.0,1986,7.0,5.0,1986.0,7.0,23.0
15375,Peuet Sague,Confirmed,Observations,Reported,2.0,1986,7.0,2.0,,,
20711,CoAxial Segment,Confirmed,Observations,Reported,0.0,1986,7.0,2.0,,,
18365,Nishinoshima,Uncertain,Uncertain,Unspecified,0.0,1986,7.0,2.0,1990.0,7.0,2.0
18376,Kaitoku Seamount,Uncertain,Uncertain,Unspecified,0.0,1986,6.0,18.0,1986.0,6.0,18.0
14710,Monowai,Confirmed,Observations,Hydrophonic,0.0,1986,6.0,16.0,1986.0,6.0,16.0
14675,Rumble III,Confirmed,Observations,Hydrophonic,0.0,1986,6.0,15.0,1986.0,8.0,5.0
19467,Klyuchevskoy,Confirmed,Observations,Reported,2.0,1986,6.0,8.0,1986.0,7.0,11.0
16738,Kanlaon,Confirmed,Observations,Reported,2.0,1986,6.0,3.0,1986.0,8.0,18.0
16324,Iliboleng,Confirmed,Observations,Reported,1.0,1986,5.0,28.0,1986.0,11.0,24.0
18890,Alaid,Confirmed,Observations,Reported,2.0,1986,5.0,25.0,1986.0,5.0,28.0
19759,Atka Volcanic Complex,Uncertain,Uncertain,Unspecified,1.0,1986,5.0,23.0,,,
10322,Macdonald,Confirmed,Observations,Hydrophonic,0.0,1986,5.0,16.0,1986.0,8.0,2.0
19810,Cleveland,Confirmed,Observations,Reported,2.0,1986,4.0,28.0,1986.0,5.0,27.0
20149,Pavlof,Confirmed,Observations,Reported,3.0,1986,4.0,16.0,1988.0,8.0,13.0
17601,Fukutoku-Oka-no-Ba,Uncertain,Uncertain,Unspecified,0.0,1986,4.0,7.0,1987.0,6.0,26.0
19583,Sheveluch,Confirmed,Observations,Reported,3.0,1986,3.0,28.0,1988.0,2.0,28.0
20262,Augustine,Confirmed,Observations,Reported,4.0,1986,3.0,27.0,1986.0,8.0,31.0
19363,Bezymianny,Confirmed,Observations,Reported,2.0,1986,3.0,26.0,1986.0,6.0,29.0
16457,Lokon-Empung,Confirmed,Observations,Reported,2.0,1986,3.0,22.0,1987.0,5.0,13.0
20090,Shishaldin,Confirmed,Observations,Reported,2.0,1986,3.0,19.0,1987.0,2.0,15.0
20030,Akutan,Confirmed,Observations,Reported,2.0,1986,3.0,18.0,1986.0,6.0,30.0
10621,Tacana,Confirmed,Observations,Reported,1.0,1986,2.0,16.0,1986.0,6.0,16.0
14654,Ruapehu,Confirmed,Observations,Reported,1.0,1986,2.0,8.0,1986.0,2.0,9.0
14490,Whakaari/White Island,Confirmed,Observations,Reported,3.0,1986,2.0,1.0,1994.0,7.0,28.0
11898,Tupungatito,Confirmed,Observations,Reported,1.0,1986,1.0,20.0,1986.0,1.0,20.0
17600,Fukutoku-Oka-no-Ba,Confirmed,Observations,Reported,2.0,1986,1.0,18.0,1986.0,3.0,28.0
19809,Cleveland,Uncertain,Uncertain,Unspecified,1.0,1985,12.0,10.0,,,
15171,Kavachi,Confirmed,Observations,Reported,1.0,1985,12.0,9.0,1986.0,2.0,28.0
18364,Nishinoshima,Uncertain,Uncertain,Unspecified,0.0,1985,12.0,2.0,1985.0,12.0,2.0
11070,Concepcion,Confirmed,Observations,Reported,1.0,1985,12.0,2.0,1986.0,4.0,20.0
15058,Ulawun,Confirmed,Observations,Reported,3.0,1985,11.0,17.0,1985.0,11.0,22.0
10863,San Miguel,Confirmed,Observations,Reported,1.0,1985,11.0,16.0,1986.0,2.0,16.0
14653,Ruapehu,Confirmed,Observations,Reported,1.0,1985,11.0,15.0,1985.0,11.0,15.0
15684,Tangkuban Parahu,Uncertain,Uncertain,Unspecified,1.0,1985,11.0,15.0,1985.0,11.0,15.0
16737,Kanlaon,Confirmed,Observations,Reported,1.0,1985,10.0,5.0,1985.0,12.0,7.0
16939,Suwanosejima,Confirmed,Observations,Reported,2.0,1985,9.0,16.0,1987.0,6.0,16.0
11101,Rincon de la Vieja,Confirmed,Observations,Reported,1.0,1985,9.0,16.0,1986.0,4.0,16.0
11290,"Ruiz, Nevado del",Confirmed,Observations,Reported,3.0,1985,9.0,11.0,1991.0,7.0,13.0
18476,Supply Reef,Uncertain,Uncertain,Unspecified,0.0,1985,9.0,2.0,,,
